X,Y,onspostcodenospaces,X,Y,objectid,pcd2,hospcode,hospname,postcode,obs1url,ind1url,ind1value,obs2url,ind2url,ind2value,obs3url,ind3url,ind3value,obs4url,ind4url,ind4value,regionname,regioncode,IMDRank
-0.343939717,51.76007963,AL35PN,-0.34394,51.76008,42903,AL3  5PN,http://nhs.publishmydata.com/id/organisation/nacs/RWG03,St Albans City Hospital,AL3 5PN,http://nhs.publishmydata.com/data/metric/8139/year/2016/RWG03,http://nhs.publishmydata.com/data/metric/8139,11,http://nhs.publishmydata.com/data/metric/8121/year/2016/RWG03,http://nhs.publishmydata.com/data/metric/8121,86.7,http://nhs.publishmydata.com/data/metric/8150/year/2016/RWG03,http://nhs.publishmydata.com/data/metric/8150,-16.51,http://nhs.publishmydata.com/data/metric/182/year/2016/RWG03,http://nhs.publishmydata.com/data/metric/182,54,East of England,E15000006,11737
-0.352934756,51.81905901,AL54TA,-0.35293,51.81906,45827,AL5  4TA,http://nhs.publishmydata.com/id/organisation/nacs/RWG05,Harpenden Memorial Hospital,AL5 4TA,http://nhs.publishmydata.com/data/metric/8139/year/2016/RWG05,http://nhs.publishmydata.com/data/metric/8139,11,http://nhs.publishmydata.com/data/metric/8121/year/2016/RWG05,http://nhs.publishmydata.com/data/metric/8121,86.7,http://nhs.publishmydata.com/data/metric/8150/year/2016/RWG05,http://nhs.publishmydata.com/data/metric/8150,-16.51,http://nhs.publishmydata.com/data/metric/182/year/2016/RWG05,http://nhs.publishmydata.com/data/metric/182,54,East of England,E15000006,32523
-0.18767583,51.78283539,AL74HQ,-0.18768,51.78284,47939,AL7  4HQ,http://nhs.publishmydata.com/id/organisation/nacs/RWH20,Queen Elizabeth I I Hospital,AL7 4HQ,http://nhs.publishmydata.com/data/metric/8139/year/2016/RWH20,http://nhs.publishmydata.com/data/metric/8139,4,http://nhs.publishmydata.com/data/metric/8121/year/2016/RWH20,http://nhs.publishmydata.com/data/metric/8121,80.6,http://nhs.publishmydata.com/data/metric/8150/year/2016/RWH20,http://nhs.publishmydata.com/data/metric/8150,-19.22,http://nhs.publishmydata.com/data/metric/182/year/2016/RWH20,http://nhs.publishmydata.com/data/metric/182,67,East of England,E15000006,26286
-1.938470468,52.45319789,B152TH,-1.93847,52.4532,55028,B15  2TH,http://nhs.publishmydata.com/id/organisation/nacs/RRK02,Queen Elizabeth Hospital,B15 2TH,http://nhs.publishmydata.com/data/metric/8139/year/2016/RRK02,http://nhs.publishmydata.com/data/metric/8139,5,http://nhs.publishmydata.com/data/metric/8121/year/2016/RRK02,http://nhs.publishmydata.com/data/metric/8121,91.3,http://nhs.publishmydata.com/data/metric/8150/year/2016/RRK02,http://nhs.publishmydata.com/data/metric/8150,15.64,http://nhs.publishmydata.com/data/metric/182/year/2016/RRK02,http://nhs.publishmydata.com/data/metric/182,82,West Midlands,E15000005,9232
-1.94177059,52.45016094,B152WB,-1.94177,52.45016,55062,B15  2WB,http://nhs.publishmydata.com/id/organisation/nacs/RRK15,Queen Elizabeth Hospital Birmingham,B15 2WB,http://nhs.publishmydata.com/data/metric/8139/year/2016/RRK15,http://nhs.publishmydata.com/data/metric/8139,5,http://nhs.publishmydata.com/data/metric/8121/year/2016/RRK15,http://nhs.publishmydata.com/data/metric/8121,91.3,http://nhs.publishmydata.com/data/metric/8150/year/2016/RRK15,http://nhs.publishmydata.com/data/metric/8150,15.64,http://nhs.publishmydata.com/data/metric/182/year/2016/RRK15,http://nhs.publishmydata.com/data/metric/182,82,West Midlands,E15000005,9232
-1.932501076,52.48864233,B187QH,-1.9325,52.48864,57968,B18  7QH,http://nhs.publishmydata.com/id/organisation/nacs/RXK02,City Hospital,B18 7QH,http://nhs.publishmydata.com/data/metric/8139/year/2016/RXK02,http://nhs.publishmydata.com/data/metric/8139,4,http://nhs.publishmydata.com/data/metric/8121/year/2016/RXK02,http://nhs.publishmydata.com/data/metric/8121,93.1,http://nhs.publishmydata.com/data/metric/8150/year/2016/RXK02,http://nhs.publishmydata.com/data/metric/8150,9.91,http://nhs.publishmydata.com/data/metric/182/year/2016/RXK02,http://nhs.publishmydata.com/data/metric/182,61,West Midlands,E15000005,4470
-1.893749276,52.48490979,B46NH,-1.89375,52.48491,74806,B4   6NH,http://nhs.publishmydata.com/id/organisation/nacs/RQ301,Birmingham Children,B4 6NH,http://nhs.publishmydata.com/data/metric/8139/year/2016/RQ301,http://nhs.publishmydata.com/data/metric/8139,3,http://nhs.publishmydata.com/data/metric/8121/year/2016/RQ301,http://nhs.publishmydata.com/data/metric/8121,89.8,http://nhs.publishmydata.com/data/metric/8150/year/2016/RQ301,http://nhs.publishmydata.com/data/metric/8150,1.71,http://nhs.publishmydata.com/data/metric/182/year/2016/RQ301,http://nhs.publishmydata.com/data/metric/182,90,West Midlands,E15000005,11053
-2.055656182,52.34414976,B610BB,-2.05566,52.34415,82924,B61  0BB,http://nhs.publishmydata.com/id/organisation/nacs/R1A04,Princess of Wales Community Hospital - Worcestershire Health and Care NHS Trust,B61 0BB,http://nhs.publishmydata.com/data/metric/8139/year/2016/R1A04,http://nhs.publishmydata.com/data/metric/8139,5,http://nhs.publishmydata.com/data/metric/8121/year/2016/R1A04,http://nhs.publishmydata.com/data/metric/8121,100,http://nhs.publishmydata.com/data/metric/8150/year/2016/R1A04,http://nhs.publishmydata.com/data/metric/8150,4.5,http://nhs.publishmydata.com/data/metric/182/year/2016/R1A04,http://nhs.publishmydata.com/data/metric/182,74,West Midlands,E15000005,23494
-2.053797915,52.48125078,B658DA,-2.0538,52.48125,86536,B65  8DA,http://nhs.publishmydata.com/id/organisation/nacs/RXK10,Rowley Regis Hospital,B65 8DA,http://nhs.publishmydata.com/data/metric/8139/year/2016/RXK10,http://nhs.publishmydata.com/data/metric/8139,4,http://nhs.publishmydata.com/data/metric/8121/year/2016/RXK10,http://nhs.publishmydata.com/data/metric/8121,93.1,http://nhs.publishmydata.com/data/metric/8150/year/2016/RXK10,http://nhs.publishmydata.com/data/metric/8150,9.91,http://nhs.publishmydata.com/data/metric/182/year/2016/RXK10,http://nhs.publishmydata.com/data/metric/182,61,West Midlands,E15000005,19765
-1.987878684,52.52737192,B714HJ,-1.98788,52.52737,92815,B71  4HJ,http://nhs.publishmydata.com/id/organisation/nacs/RXK01,Sandwell District General Hospital,B71 4HJ,http://nhs.publishmydata.com/data/metric/8139/year/2016/RXK01,http://nhs.publishmydata.com/data/metric/8139,4,http://nhs.publishmydata.com/data/metric/8121/year/2016/RXK01,http://nhs.publishmydata.com/data/metric/8121,93.1,http://nhs.publishmydata.com/data/metric/8150/year/2016/RXK01,http://nhs.publishmydata.com/data/metric/8150,9.91,http://nhs.publishmydata.com/data/metric/182/year/2016/RXK01,http://nhs.publishmydata.com/data/metric/182,61,West Midlands,E15000005,5385
